case,algo,heuristic,ok,pasos,costo,expandidos,ms
21,a*,manhattan,True,24,24.0,1321,8.740599965676665
21,a*,linear_conflict,True,24,24.0,646,9.345600032247603
21,greedy,hamming,True,54,54.0,550,3.0017999815754592
21,greedy,manhattan,True,102,102.0,599,4.278200038243085
21,greedy,linear_conflict,True,28,28.0,37,0.7077999762259424
22,a*,hamming,True,24,24.0,14569,87.08789997035637
22,a*,manhattan,True,24,24.0,581,3.9245999651029706
22,a*,linear_conflict,True,24,24.0,276,4.026700044050813
22,greedy,hamming,True,42,42.0,563,3.037800022866577
22,greedy,manhattan,True,60,60.0,462,3.251600021030754
22,greedy,linear_conflict,True,34,34.0,40,0.741399999242276
23,a*,hamming,True,24,24.0,12320,72.30260001961142
23,a*,manhattan,True,24,24.0,905,6.098999991081655
23,a*,linear_conflict,True,24,24.0,629,9.05839999904856
23,greedy,hamming,True,58,58.0,348,2.0348000107333064
23,greedy,manhattan,True,38,38.0,88,0.666900014039129
23,greedy,linear_conflict,True,38,38.0,68,1.180300023406744
24,a*,hamming,True,24,24.0,15785,96.81000001728535
24,a*,manhattan,True,24,24.0,1327,8.896099985577166
24,a*,linear_conflict,True,24,24.0,519,7.575900002848357
24,greedy,hamming,True,80,80.0,574,3.3331000013276935
24,greedy,manhattan,True,30,30.0,394,2.770200022496283
24,greedy,linear_conflict,True,30,30.0,55,1.014699984807521
25,a*,hamming,True,20,20.0,2055,12.266799982171506
25,a*,manhattan,True,20,20.0,204,1.3560999650508165
25,a*,linear_conflict,True,20,20.0,77,1.1611999943852425
25,greedy,hamming,True,54,54.0,526,2.8395000263117254
25,greedy,manhattan,True,52,52.0,390,2.6903999969363213
25,greedy,linear_conflict,True,42,42.0,99,1.7131000058725476
26,a*,hamming,True,28,28.0,54558,404.65270000277087
26,a*,manhattan,True,28,28.0,2510,18.86240002932027
26,a*,linear_conflict,True,28,28.0,1404,21.479699993506074
26,greedy,hamming,True,74,74.0,669,3.9243000210262835
26,greedy,manhattan,True,48,48.0,476,3.451499971561134
26,greedy,linear_conflict,True,36,36.0,72,1.258100033737719
27,a*,hamming,True,20,20.0,3071,20.611699961591512
27,a*,manhattan,True,20,20.0,601,4.314400022849441
27,a*,linear_conflict,True,20,20.0,354,5.774100020062178
27,greedy,hamming,True,84,84.0,729,4.369299975223839
27,greedy,manhattan,True,46,46.0,397,2.984300022944808
27,greedy,linear_conflict,True,28,28.0,46,0.9539999882690609
28,a*,hamming,True,26,26.0,27930,203.41479999478906
28,a*,manhattan,True,26,26.0,1610,11.513300007209182
28,a*,linear_conflict,True,26,26.0,857,13.119400013238192
28,greedy,hamming,True,68,68.0,532,3.3190000103786588
28,greedy,manhattan,True,54,54.0,456,3.362199990078807
28,greedy,linear_conflict,True,34,34.0,49,1.0688999900594354
29,a*,hamming,True,18,18.0,925,5.728299962356687
29,a*,manhattan,True,18,18.0,36,0.26509998133406043
29,a*,linear_conflict,True,18,18.0,29,0.46519999159500003
29,greedy,hamming,True,130,130.0,1074,6.472699984442443
29,greedy,manhattan,True,104,104.0,508,3.7629000144079328
29,greedy,linear_conflict,True,42,42.0,70,1.2752000475302339
30,a*,hamming,True,22,22.0,5030,32.79789997031912
30,a*,manhattan,True,22,22.0,263,1.8305000266991556
30,a*,linear_conflict,True,22,22.0,175,2.684100007172674
30,greedy,hamming,True,84,84.0,258,1.6769000212661922
30,greedy,manhattan,True,76,76.0,436,3.270899993367493
30,greedy,linear_conflict,True,22,22.0,36,0.6539999740198255
31,a*,hamming,True,22,22.0,6698,42.487300001084805
31,a*,manhattan,True,22,22.0,614,4.170999978668988
31,a*,linear_conflict,True,22,22.0,270,3.9576999843120575
31,greedy,hamming,True,64,64.0,735,4.1936999768950045
31,greedy,manhattan,True,34,34.0,395,2.7979000005871058
31,greedy,linear_conflict,True,26,26.0,49,0.9026999468915164
32,a*,hamming,True,16,16.0,489,2.7867999742738903
32,a*,manhattan,True,16,16.0,126,0.8319000480696559
32,a*,linear_conflict,True,16,16.0,54,0.8578000124543905
32,greedy,hamming,True,54,54.0,687,4.073799995239824
32,greedy,manhattan,True,22,22.0,94,0.7192000048235059
32,greedy,linear_conflict,True,22,22.0,44,0.7915000314824283
33,a*,hamming,True,20,20.0,3261,20.669399993494153
33,a*,manhattan,True,20,20.0,298,2.1413000067695975
33,a*,linear_conflict,True,20,20.0,186,2.744400000665337
33,greedy,hamming,True,42,42.0,691,3.9594999980181456
33,greedy,manhattan,True,62,62.0,401,2.993199974298477
33,greedy,linear_conflict,True,36,36.0,56,1.0605999850668013
34,a*,hamming,True,16,16.0,317,1.915200031362474
34,a*,manhattan,True,16,16.0,67,0.4635000368580222
34,a*,linear_conflict,True,16,16.0,35,0.5691000260412693
34,greedy,hamming,True,70,70.0,750,4.563099995721132
34,greedy,manhattan,True,22,22.0,31,0.34600001526996493
34,greedy,linear_conflict,True,16,16.0,20,0.4019000334665179
35,a*,hamming,True,22,22.0,4755,31.926900031976402
35,a*,manhattan,True,22,22.0,71,0.5015999777242541
35,a*,linear_conflict,True,22,22.0,55,0.8659000159241259
35,greedy,hamming,True,170,170.0,1018,6.154300004709512
35,greedy,manhattan,True,74,74.0,553,3.900799958501011
35,greedy,linear_conflict,True,38,38.0,67,1.213099982123822
36,a*,hamming,True,20,20.0,2654,16.90540002891794
36,a*,manhattan,True,20,20.0,324,2.298199979122728
36,a*,linear_conflict,True,20,20.0,170,2.511700033210218
36,greedy,hamming,True,126,126.0,783,4.607299983035773
36,greedy,manhattan,True,30,30.0,84,0.6621000356972218
36,greedy,linear_conflict,True,30,30.0,42,0.7804000051692128
37,a*,hamming,True,14,14.0,177,1.0507000260986388
37,a*,manhattan,True,14,14.0,29,0.20379998022690415
37,a*,linear_conflict,True,14,14.0,17,0.298700004350394
37,greedy,hamming,True,120,120.0,1039,6.100300000980496
37,greedy,manhattan,True,86,86.0,486,3.710300021339208
37,greedy,linear_conflict,True,14,14.0,17,0.3418999840505421
38,a*,hamming,True,24,24.0,15335,97.58130001137033
38,a*,manhattan,True,24,24.0,981,6.2967000412754714
38,a*,linear_conflict,True,24,24.0,546,7.905700011178851
38,greedy,hamming,True,38,38.0,551,3.022999968379736
38,greedy,manhattan,True,80,80.0,169,1.359799993224442
38,greedy,linear_conflict,True,26,26.0,52,0.9739000233821571
39,a*,hamming,True,20,20.0,2207,14.589699974749237
39,a*,manhattan,True,20,20.0,164,1.1801000218838453
39,a*,linear_conflict,True,20,20.0,111,1.7080999678000808
39,greedy,hamming,True,88,88.0,450,2.740599971730262
39,greedy,manhattan,True,90,90.0,437,3.377000044565648
39,greedy,linear_conflict,True,40,40.0,81,1.4754000003449619
40,a*,hamming,True,16,16.0,514,3.0447999597527087
40,a*,manhattan,True,16,16.0,113,0.8111000061035156
40,a*,linear_conflict,True,16,16.0,58,0.916499993763864
40,greedy,hamming,True,26,26.0,50,0.3599999472498894
40,greedy,manhattan,True,40,40.0,88,0.7121000089682639
40,greedy,linear_conflict,True,18,18.0,24,0.48669998068362474
41,a*,hamming,True,30,30.0,96186,655.3656999603845
41,a*,manhattan,True,30,30.0,7666,67.55199999315664
41,a*,linear_conflict,True,30,30.0,3921,67.36759998602793
41,greedy,hamming,True,92,92.0,274,1.7172000370919704
41,greedy,manhattan,True,82,82.0,566,4.095299984328449
41,greedy,linear_conflict,True,36,36.0,63,1.133000012487173
42,a*,hamming,True,22,22.0,6380,40.12209997745231
42,a*,manhattan,True,22,22.0,424,2.761300012934953
42,a*,linear_conflict,True,22,22.0,296,4.6728000161238015
42,greedy,hamming,True,110,110.0,927,4.935899982228875
42,greedy,manhattan,True,52,52.0,466,3.0064000166021287
42,greedy,linear_conflict,True,28,28.0,43,0.7180999964475632
43,a*,hamming,True,24,24.0,14555,85.26930003426969
43,a*,manhattan,True,24,24.0,1426,9.543400024995208
43,a*,linear_conflict,True,24,24.0,635,8.207299979403615
43,greedy,hamming,True,46,46.0,159,0.9772999910637736
43,greedy,manhattan,True,44,44.0,436,2.917799982242286
43,greedy,linear_conflict,True,38,38.0,83,1.3627000153064728
44,a*,hamming,True,20,20.0,2373,13.997100002598017
44,a*,manhattan,True,20,20.0,368,2.35730002168566
44,a*,linear_conflict,True,20,20.0,284,3.8787000230513513
44,greedy,hamming,True,78,78.0,771,4.037100006826222
44,greedy,manhattan,True,60,60.0,400,2.7086000191047788
44,greedy,linear_conflict,True,30,30.0,164,2.4759999942034483
45,a*,hamming,True,22,22.0,5440,33.71719998540357
45,a*,manhattan,True,22,22.0,392,3.011799999512732
